;Schw. (hp);wl_lett;wl_syll;one_syll;more_syll;long_w;lh_ran;lh_freq;lh_infr;lh_inv;lh_100;lhsw_ran;lhsw_freq;lhsw_lnfr;lhsw_inv;lhsw_100;wh_ran;wh_freq;wh_lnfr;wh_100;whsw_ran;whsw_freq;whsw_lnfr;whsw_100;rr_10;rr_25;rr_30;rr_40;rr_50;rr_60;rr_75;rr_80;rr_85;rr_90;ttr;ttr_sq;ttr_hd;ttrsw;ttrsw_sq;ttrsw_hd;i/f;f/i;i/w;f/w;L;R;nr;vr;nstv;fvr;ivr;fir;syn;lnsyn;synsw;lnsynsw;syn500;1sg;2sg;3sg;1pl;2pl;3pl;n3;prs;imperf;perf;pqp;fut1;fut2;nprs;nprprf;ind;sub;imp;nind;act;pass;nom;gen;dat;acc;abl;lem;ana;mult_lem;kon;pr_w;pr_n;pr_s;pr12_w;pr12_n;pr12_s;prpo_w;prpo_n;prpo_s;prps_w;prps_n;prps_s;kr_2;kr_3;kr_all;krn_2;krn_3;krn_all;sim_wn;sim_wup;lsa;lsa_2;sl;cl;v1w;v1s;ovs;ovw;svoc;svow;wvps;wvpw;depl;tu;stw;stt;stn;nsw;nst;nss;fnsw;fnst;fnss;fnsns;haa;hga;haga;haw;hgw;hagw;haha;hghg;haghag;vH_w;vH_H;ch;verschr. RS;R+K;R+I;R. SA;Sup I;Sup II;Ger. ohne esse;Ger. prädik.;Gerundium;ind. Rede;AcI;NcI;hist. Inf.;Inf.-Konstr.;ind. FS;quin-S.;fakt. quod;Komp. S.;Kond. S.;cum + K;cum + I;Konzessiv S.;Konsek. S.;Temp. S.;Final S.;Kausal S.;Konj. HS;Attr. Part.;Abl. Abs.;PC;Prädikativum;Dat. fin.;Abl. comp.;Gen. qual.;Abl. qual.;Dat. auct.;Dat. poss.;Imp.;Passiv;Ellipse;LEF;Anzahl SE;differente SE;Rel.sätze;nd-Formen;Infinitive;NS;Part.;Kasus;SE_optimum;**lex. Variablen ohne Anmerkungen**;wl_lett;wl_syll;one_syll;more_syll;long_w;lh_ran;lh_freq;lh_infr;lh_inv;lh_100;lhsw_ran;lhsw_freq;lhsw_lnfr;lhsw_inv;lhsw_100;wh_ran;wh_freq;wh_lnfr;wh_100;whsw_ran;whsw_freq;whsw_lnfr;whsw_100;rr_10;rr_25;rr_30;rr_40;rr_50;rr_60;rr_75;rr_80;rr_85;rr_90;ttr;ttr_sq;ttr_hd;ttrsw;ttrsw_sq;ttrsw_hd;i/f;f/i;i/w;f/w;L;R;nr;vr;nst;fvr;ivr;fir;syn;lnsyn;synsw;lnsynsw;syn500;**Genre etc.**;Genre_1;Genre_2;Narrativität;Inhalt
Text_1;4,136;5,614;2,369;0,229;0,394;0,458;266,123;9728,097;7,116;1,489;3,25;398,503;1693,128;5,727;1,483;4,456;377,483;3918,364;5,389;4,229;520,174;337,208;3,746;5,51;0,487;0,352;0,326;0,280;0,263;0,233;0,144;0,131;0,106;0,047;0,657;10,09;0,923;0,799;9,749;0,955;1,713;0,584;0,631;0,369;158,136;0,953;0,194;0,224;1,152;0,169;0,064;0,727;15,847;1,39;12,242;0,916;3,178;0,067;0,022;0,8;0;0,022;0,089;0,111;0,455;0;0,091;0;0,409;0,045;0,545;0,455;0,682;0,318;0;0,318;0,909;0,091;0,119;0,119;0,024;0,429;0,31;1,466;3,373;0,326;0,093;0,165;0,907;1,95;0,004;0,023;0,05;0,021;0,116;0,25;0,017;0,093;0,2;0,034;0,059;0,119;0,004;0,004;0,013;0,263;0,326;0,448;0,632;15,8;4,291;0,338;0,533;0,079;0,127;0;0;1,867;0,118;3,532;7,613;13,136;1,000;1,292;10,169;0,774;1,600;6,356;0,484;1,000;0,625;0,000;0,424;0,424;0,000;1,271;1,271;0,000;3,000;3,000;0,000;0,000;0,847;0,000;0,025;0,008;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,004;0,000;0,000;0,017;0,004;0,000;0,000;0,000;0,017;0,004;0,000;0,000;0,000;0,000;0,000;0,000;0,013;0,021;0,008;0,000;0,004;0,000;0,000;0,008;0,000;0,000;0,000;0,004;0,000;0,000;0,000;0,140;13;0,082;0,000;0,037;0,059;0,085;0,019;0,069;;5,391;2,274;0,242;0,353;0,423;228,781;10066,26;7,372;0,409;2,884;352,023;1849,6;6,008;0,402;3,992;354,456;4114,549;5,64;4,019;497,231;347,454;3,989;5,3;0,46;0,316;0,288;0,237;0,219;0,186;0,093;0,079;0,051;0,014;0,637;9,343;0,916;0,777;8,858;0,948;1,529;0,654;0,605;0,395;139,721;0,949;0,185;0,227;1,225;0,163;0,065;0,714;13,223;1,368;9,307;0,858;3,265;;Prosa;Philosophie;systematisch;Philosophie
Text_2;2,039;5,368;2,223;0,285;0,358;0,389;301,228;8324,28;6,779;1,228;3,56;453,26;1169,024;5,263;1,223;4,959;354,316;3722,984;5,131;3,974;500,878;260,171;3,285;5,309;0,523;0,389;0,347;0,326;0,295;0,254;0,181;0,171;0,140;0,093;0,736;10,221;0,942;0,862;9,558;0,969;1,757;0,569;0,637;0,363;143,893;0,961;0,244;0,192;0,787;0,166;0,062;0,727;17,788;1,298;15,876;1,044;3,098;0,179;0,359;0,333;0;0;0,128;0,538;0,541;0,27;0,081;0,081;0,027;0;0,459;0,378;0,649;0,324;0,027;0,351;0,892;0,108;0,125;0,083;0,042;0,292;0,438;1,508;3,124;0,368;0,088;0,135;0,553;1,3;0,052;0,213;0,5;0,01;0,043;0,1;0,062;0,255;0,6;0,021;0,031;0,073;0,005;0,01;0,031;0,247;0,33;1,307;0,546;9,65;4,595;0,311;0,3;0,031;0,052;0,062;0,104;4,4;0,456;3,069;9,190;12,953;1,190;1,190;10,881;1,000;1,050;9,326;0,857;0,900;0,857;2,073;0,518;2,591;2,591;1,554;4,145;1,250;3,000;1,600;0,000;0,000;1,554;0,000;0,000;0,016;0,000;0,000;0,000;0,000;0,005;0,010;0,000;0,005;0,000;0,000;0,005;0,005;0,000;0,000;0,016;0,021;0,005;0,005;0,000;0,005;0,016;0,000;0,000;0,010;0,005;0,005;0,010;0,005;0,000;0,000;0,000;0,000;0,000;0,005;0,010;0,000;0,005;0,057;0,166;20;0,024;0,040;0,017;0,169;0,059;0,010;0,084;;5;2,085;0,335;0,293;0,317;228,616;9725,36;7,335;0,549;2,848;373,479;1405,989;5,764;0,543;4,149;319,671;4367,049;5,672;3,671;485,649;315,543;3,66;5,191;0,47;0,311;0,262;0,238;0,213;0,165;0,091;0,085;0,055;0,018;0,695;8,902;0,929;0,83;8,045;0,959;1,343;0,745;0,573;0,427;115,893;0,951;0,183;0,195;1,067;0,171;0,055;0,757;17,555;1,248;15,305;0,949;3,268;;Poesie;Komödie;narrativ;Bildung
Text_3;4,784;5,577;2,327;0,298;0,38;0,471;230,51;10379,409;7,104;0,424;2,861;345,564;1533,226;5,631;0,419;3,872;330,861;3797,966;5,446;3,75;479,098;300,586;3,71;5,098;0,452;0,317;0,288;0,245;0,212;0,163;0,096;0,082;0,072;0,053;0,731;10,539;0,941;0,895;10,319;0,977;1,773;0,564;0,639;0,361;154,721;0,958;0,293;0,188;0,639;0,101;0,12;0,457;12,971;1,144;11,091;0,84;3,524;0,25;0;0,464;0;0,107;0,179;0,357;0,63;0,037;0,222;0;0,074;0,037;0,37;0,148;0,704;0,296;0;0,296;0,926;0,074;0,3;0,06;0,08;0,26;0,3;1,413;3,250;0,269;0,096;0,168;0,66;3,889;0,043;0,17;1;0,005;0,019;0,111;0,048;0,189;1,111;0,019;0,029;0,058;0,01;0,01;0,024;0,381;0,491;0,343;0,756;21;4,522;0,048;0,1;0;0;0;0;6,7;0,319;3,515;18,909;26,923;5,091;1,600;16,827;3,182;3,500;8,654;1,636;1,800;0,514;0,962;0,481;1,442;2,404;0,962;3,365;2,500;2,000;2,333;0,000;0,000;1,442;0,000;0,014;0,024;0,000;0,000;0,000;0,005;0,029;0,000;0,000;0,029;0,005;0,000;0,010;0,000;0,000;0,000;0,005;0,010;0,000;0,005;0,000;0,000;0,000;0,005;0,010;0,000;0,000;0,005;0,005;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,159;14;0,076;0,081;0,070;0,071;0,020;0,000;0,119;;5,465;2,27;0,31;0,36;0,46;211,86;10782,05;7,254;0,25;2,675;323,088;1611,296;5,776;0,246;3,64;319,245;3945,71;5,58;3,645;470;313,144;3,814;5,016;0,435;0,3;0,270;0,225;0,19;0,140;0,07;0,055;0,050;0,035;0,72;10,182;0,938;0,888;9,928;0,975;1,667;0,6;0,625;0,375;146,721;0,956;0,284;0,184;0,649;0,105;0,105;0,5;13,315;1,163;11,36;0,846;3,5;;Prosa;Geschichtsschreibung;informativ;Krieg
Text_4;3,808;5,839;2,495;0,21;0,495;0,527;269,618;9221,048;6,902;0,502;3,28;385,764;1529,591;5,57;0,499;4,331;377,124;4186,855;5,475;4,237;524,094;241,677;3,947;5,591;0,495;0,382;0,349;0,301;0,258;0,226;0,151;0,113;0,075;0,048;0,726;9,899;0,939;0,85;9,583;0,967;2,153;0,465;0,683;0,317;136,479;0,959;0,339;0,108;0,317;0,076;0,114;0,4;18,011;1,511;14,129;1,055;3,769;0;0;1;0;0;0;0;0,176;0,353;0,294;0,176;0;0;0,824;0,529;0,824;0,176;0;0,176;0,941;0,059;0,146;0,188;0;0,271;0,396;1,446;3,790;0,312;0,108;0,14;0,51;5,2;0;0;0;0,027;0,098;1;0,032;0,118;1,2;0,038;0,027;0,054;0,016;0,011;0,022;0,552;0,752;0,725;0,808;23,625;5,636;0,053;0,125;0,154;0,106;0,077;0,053;8,25;0,349;4,022;13,286;16,667;2,214;1,632;10,215;1,357;2,375;5,914;0,786;1,375;0,579;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,538;0,000;0,000;0,016;0,000;0,000;0,000;0,011;0,000;0,005;0,000;0,011;0,000;0,043;0,000;0,000;0,000;0,000;0,000;0,005;0,005;0,000;0,005;0,005;0,011;0,000;0,005;0,000;0,000;0,016;0,011;0,005;0,005;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,022;0,161;15;0,025;0,049;0,139;0,078;0,070;0,013;0,015;;5,744;2,455;0,222;0,483;0,511;243,102;9721,074;7,098;0,241;3,023;355,803;1624,376;5,75;0,238;4,034;359,057;4423,483;5,667;4,074;509,479;260,436;4,105;5,462;0,477;0,358;0,324;0,273;0,227;0,193;0,114;0,074;0,034;0,023;0,716;9,498;0,935;0,846;9,153;0,965;1,983;0,504;0,665;0,335;127,479;0,956;0,349;0,097;0,279;0,068;0,102;0,4;17,648;1,523;13,545;1,041;3,682;;Prosa;Geschichtsschreibung;informativ;Charakterisierung
Text_5;4,303;5,538;2,291;0,307;0,359;0,446;329,534;9571,988;6,644;1,106;3,888;491,89;1027,982;5,004;1,103;5,378;359,1;5269,299;5,161;4,024;528,384;210,652;3,107;5,555;0,514;0,422;0,410;0,355;0,335;0,311;0,239;0,199;0,159;0,104;0,689;10,92;0,933;0,878;11,245;0,974;1,885;0,53;0,653;0,347;176,648;0,955;0,191;0,183;0,958;0,108;0,12;0,474;12,88;1,272;9,781;0,865;2,566;0,176;0,059;0,441;0;0;0,324;0,235;0,912;0,029;0,059;0;0;0;0,088;0,029;0,882;0,118;0;0,118;0,794;0,206;0,289;0,132;0,026;0,289;0,263;1,386;3,450;0,255;0,159;0,143;0,947;2,118;0,032;0,211;0,471;0,008;0,053;0,118;0,024;0,158;0,353;0,008;0,012;0,06;0,004;0,008;0,012;0,221;0,263;0,179;0,591;13,316;5,340;0,237;0,316;0,071;0,079;0;0;2,526;0,19;3,222;10,913;13,147;1,435;1,375;9,562;1,043;1,263;5,976;0,652;0,789;0,625;0,000;0,398;0,398;0,000;0,398;0,398;0,000;1,000;1,000;0,000;0,000;0,797;0,000;0,004;0,016;0,004;0,000;0,000;0,000;0,016;0,000;0,000;0,012;0,004;0,000;0,004;0,012;0,000;0,000;0,000;0,004;0,000;0,012;0,004;0,000;0,000;0,004;0,000;0,000;0,016;0,004;0,004;0,008;0,000;0,004;0,000;0,000;0,000;0,012;0,000;0,000;0,024;0,000;0,143;19;0,045;0,036;0,033;0,083;0,079;0,033;0,057;;5,252;2,174;0,335;0,309;0,4;280,148;10437,326;6,936;0,593;3,396;436,301;1165,07;5,232;0,589;4,804;344,152;5749,63;5,52;3,904;529,203;240,336;3,383;5,587;0,47;0,37;0,361;0,300;0,278;0,252;0,174;0,135;0,096;0,057;0,665;10,089;0,925;0,867;10,369;0,971;1,644;0,608;0,622;0,378;156,648;0,949;0,182;0,143;0,786;0,1;0,096;0,511;11,022;1,225;7,639;0,78;2,67;;Prosa;Brief;systematisch;Rhetorik
Text_6;2,945;6,258;2,715;0,134;0,57;0,608;348,522;5776,597;6,105;1,541;3,989;427,685;1117,664;5,234;1,539;4,711;445,823;2532,258;4,614;4,844;534,43;206,396;3,644;5,658;0,618;0,478;0,446;0,371;0,333;0,296;0,204;0,183;0,151;0,081;0,796;10,852;0,956;0,852;10,404;0,968;4,027;0,248;0,801;0,199;148,243;0,977;0,364;0,155;0,426;0,08;0,182;0,306;15,86;1,315;13,817;1,062;4,204;0;0;0,625;0,062;0;0,312;0,062;0,125;0,562;0,312;0;0;0;0,875;0,562;0,688;0,312;0;0,312;0,938;0,062;0,069;0,138;0,017;0,397;0,379;1,495;3,495;0,371;0,086;0,075;0,222;1,4;0,005;0,016;0,1;0,005;0,016;0,1;0,016;0,048;0,3;0,027;0,07;0,108;0,016;0,048;0,081;0,288;0,396;0,26;0,631;15,833;5,027;0,053;0,083;0;0;0;0;4,5;0,284;3,472;9,300;11,290;1,050;1,235;9,140;0,850;1,417;4,839;0,450;0,750;0,529;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,075;0,005;0,005;0,005;0,011;0,000;0,000;0,005;0,000;0,000;0,000;0,000;0,000;0,054;0,005;0,005;0,000;0,000;0,000;0,000;0,000;0,000;0,005;0,005;0,005;0,011;0,000;0,000;0,011;0,016;0,005;0,016;0,005;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,005;0,011;0,177;18;0,069;0,017;0,164;0,068;0,115;0,013;0,061;;6,024;2,615;0,148;0,527;0,568;302,414;6354,521;6,452;0,391;3,538;378,848;1257,568;5,566;0,388;4,227;420,929;2785,982;4,915;4,621;513,97;231,697;3,904;5,477;0,592;0,438;0,402;0,320;0,278;0,237;0,136;0,112;0,077;0,036;0,781;10,154;0,952;0,841;9,661;0,965;3,568;0,28;0,781;0,219;132,243;0,974;0,359;0,159;0,443;0,082;0,165;0,333;14,266;1,279;12,018;1,001;4,527;;Prosa;Geschichtsschreibung;narrativ;Krieg
Text_7;3,064;5,333;2,153;0,222;0,307;0,45;208,402;9105,238;7,126;0,396;2,646;301,206;1612,04;5,838;0,393;3,444;365,397;3696,085;5,324;4,116;499,444;287,246;3,787;5,357;0,466;0,296;0,275;0,222;0,185;0,122;0,053;0,032;0,021;0,011;0,704;9,674;0,933;0,817;9,176;0,958;2;0,5;0,667;0,333;135,715;0,952;0,279;0,211;0,755;0,148;0,101;0,596;12,143;1,35;9,386;1,021;4,529;0,212;0,03;0,545;0,03;0,121;0,061;0,394;0,758;0,03;0,212;0;0;0;0,242;0,03;0,909;0,061;0,03;0,091;0,879;0,121;0,135;0,135;0;0,405;0,324;1,418;3,132;0,291;0,074;0,18;0,723;2;0,085;0,34;0,941;0,037;0,149;0,412;0,058;0,234;0,647;0,021;0,026;0,101;0,016;0,005;0,037;0,327;0,42;0,186;0,57;11,056;4,610;0,302;0,333;0,067;0,101;0,033;0,05;3,111;0,281;3,144;7,000;7,937;0,556;1,071;7,407;0,519;0,778;4,233;0,296;0,444;0,571;4,233;1,058;5,291;5,820;1,587;7,407;1,375;1,500;1,400;0,529;0,100;1,587;0,000;0,005;0,021;0,000;0,000;0,000;0,000;0,005;0,005;0,000;0,005;0,000;0,000;0,016;0,000;0,000;0,000;0,000;0,011;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,011;0,005;0,005;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,005;0,005;0,005;0,000;0,095;13;0,047;0,027;0,036;0,024;0,050;0,000;0,041;;5,218;2,138;0,224;0,293;0,425;196,828;9490,218;7,494;0,105;2,552;291,204;1791,708;6,298;0,101;3,363;369,483;3876,879;5,613;4,184;515,345;319,531;4,119;5,549;0,471;0,287;0,264;0,207;0,167;0,098;0,029;0,011;0,006;0,000;0,695;9,173;0,93;0,805;8,561;0,954;1,852;0,54;0,649;0,351;123,819;0,947;0,263;0,211;0,804;0,149;0,103;0,591;12,017;1,391;9,075;1,045;4,845;;Poesie;Epos;narrativ;Krieg
Text_8;5,360;5,86;2,351;0,189;0,437;0,545;361,946;4338,509;6,229;1,096;4,126;436,306;1059,294;5,511;1,092;4,817;473,378;2655,77;4,602;5,144;567,017;201,1;3,667;6,022;0,676;0,509;0,464;0,401;0,356;0,297;0,198;0,158;0,131;0,077;0,847;12,618;0,969;0,894;12;0,979;4,286;0,233;0,811;0,189;189,064;0,978;0,387;0,216;0,558;0,131;0,095;0,58;21,937;1,425;20,572;1,26;4,072;0,138;0,103;0,448;0,034;0,034;0,241;0,31;0,714;0,071;0,107;0;0,071;0,036;0,286;0,179;0,893;0,071;0,036;0,107;0,893;0,107;0,203;0,114;0,013;0,38;0,278;1,482;3,622;0,329;0,077;0,09;0,227;1,176;0,027;0,068;0,353;0;0;0;0,032;0,08;0,412;0,005;0,023;0,063;0,005;0,009;0,036;0,201;0,317;0,031;0,792;13,529;5,286;0,174;0,235;0,074;0,087;0,037;0,043;4,235;0,313;3,169;8,538;8,559;0,731;1,188;7,207;0,615;0,941;2,252;0,192;0,294;0,313;10,811;0,901;11,712;17,568;0,901;18,468;1,625;1,000;1,577;0,901;0,077;2,252;0,005;0,000;0,014;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,009;0,009;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,014;0,009;0,009;0,032;0,005;0,000;0,000;0,000;0,000;0,000;0,005;0,005;0,009;0,005;0,000;0,113;13;0,038;0,000;0,042;0,000;0,119;0,009;0,017;;5,688;2,281;0,206;0,402;0,513;362,462;4738,839;6,67;0,919;4,156;445,095;1188,241;5,989;0,915;4,93;485,452;2928,824;4,985;5,302;592,43;227,146;4,045;6,316;0,698;0,518;0,472;0,402;0,352;0,291;0,186;0,141;0,111;0,055;0,844;11,909;0,968;0,892;11,217;0,978;3,854;0,259;0,794;0,206;169,064;0,975;0,392;0,201;0,513;0,121;0,091;0,571;19,824;1,45;18,302;1,265;4,302;;Poesie;Epos;narrativ;Krieg
Text_9;3,292;5,403;2,278;0,239;0,381;0,494;301,506;7716,08;6,736;1,154;3,602;404,969;1464,992;5,637;1,151;4,562;434,403;3645,25;4,985;4,761;574,883;190,141;3,578;6,07;0,528;0,398;0,381;0,347;0,284;0,250;0,176;0,159;0,097;0,062;0,812;10,779;0,96;0,898;10,165;0,978;2,667;0,375;0,727;0,273;143,657;0,973;0,373;0,141;0,379;0,102;0,102;0,5;14,034;1,346;12,21;1,118;4,403;0,105;0,105;0,579;0,105;0,053;0,053;0,368;0,421;0,316;0,105;0,053;0,105;0;0,579;0,474;0,842;0;0,158;0,158;0,947;0,053;0,155;0,138;0,034;0,397;0,276;1,449;3,392;0,301;0,068;0,114;0,299;1,818;0,057;0,149;0,909;0,006;0,015;0,091;0,057;0,149;0,909;0,011;0,011;0,04;0,006;0,006;0,017;0,292;0,452;0,091;0,605;12,4;5,176;0,108;0,133;0,053;0,054;0;0;3,067;0,247;2,918;6,769;5,114;0,346;1,125;4,545;0,308;0,533;1,705;0,115;0,200;0,375;8,523;0,568;9,091;19,318;0,568;19,886;2,267;1,000;2,188;1,136;0,125;0,568;0,000;0,000;0,017;0,000;0,000;0,000;0,000;0,006;0,000;0,000;0,006;0,000;0,011;0,017;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,017;0,006;0,011;0,006;0,000;0,000;0,000;0,000;0,000;0,000;0,011;0,000;0,023;0,000;0,108;11;0,026;0,013;0,072;0,000;0,095;0,000;0,013;;5,335;2,24;0,24;0,359;0,479;299,048;8016,461;6,874;1,198;3,587;404,595;1541,719;5,791;1,196;4,57;437,826;3796,222;5,12;4,808;582,107;200,826;3,732;6,157;0,527;0,395;0,377;0,341;0,281;0,246;0,174;0,156;0,096;0,066;0,808;10,447;0,958;0,893;9,818;0,976;2,63;0,38;0,725;0,275;135,657;0,972;0,375;0,143;0,381;0,108;0,096;0,529;14,587;1,369;12,665;1,128;4,599;;Poesie;Epos;deskriptiv;Traum
Text_10;6,457;5,818;2,375;0,182;0,432;0,542;388,802;6024,562;6,125;1,449;4,411;477,824;958,549;5,234;1,445;5,229;468,484;3282,26;4,49;5,083;572,203;175,556;3,395;6,039;0,661;0,542;0,510;0,453;0,38;0,328;0,25;0,208;0,182;0,099;0,812;11,258;0,961;0,902;11,157;0,979;3,923;0,255;0,797;0,203;156,657;0,969;0,375;0,198;0,528;0,14;0,098;0,587;16,219;1,415;12,672;1,129;4,068;0;0,033;0,8;0;0;0,167;0,033;0,2;0,233;0,467;0,067;0;0;0,8;0,333;0,867;0,133;0;0,133;0,933;0,067;0,125;0,141;0;0,406;0,328;1,375;3,339;0,286;0,057;0,068;0,186;1,3;0,005;0,014;0,1;0,016;0,043;0,3;0,016;0,043;0,3;0,031;0,057;0,078;0,016;0,021;0,031;0,393;0,532;0,309;0,656;16,5;5,189;0,101;0,167;0,143;0,202;0,036;0,051;6,083;0,369;3,022;9,143;9,375;0,857;1,125;8,333;0,762;1,333;4,688;0,429;0,750;0,563;6,250;0,521;6,771;13,021;0,521;13,542;2,083;1,000;2,000;0,521;0,077;2,604;0,000;0,000;0,010;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,010;0,000;0,000;0,000;0,000;0,000;0,000;0,005;0,000;0,010;0,005;0,000;0,000;0,031;0,000;0,026;0,016;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,010;0,115;8;0,016;0,000;0,000;0,070;0,175;0,000;0,000;;5,676;2,33;0,196;0,408;0,514;386,05;6455,648;6,418;1,269;4,402;482,571;1039,307;5,526;1,265;5,293;472,749;3519,229;4,713;5,145;587,286;190,057;3,579;6,207;0,67;0,542;0,508;0,447;0,369;0,324;0,24;0,201;0,173;0,089;0,804;10,763;0,958;0,9;10,649;0,979;3,59;0,279;0,782;0,218;144,657;0,967;0,356;0,206;0,578;0,15;0,111;0,574;17,246;1,476;13,441;1,169;4,246;;Poesie;Epos;narrativ;Tod
